Time Points,Mean
8,0.154479300849184
9,0.15696415968167238
10,0.13134548001223462
11,0.11694816858739356
12,0.10784264978882889
13,0.10260706970629732
14,0.20015443727313256
15,0.22167840889549809
16,0.3337539463518212
17,0.49197248115197223
18,0.5338916522612561
19,0.5474776426303316
20,0.5637678737758797
21,0.5198487445328344
22,0.590262063545312
23,0.4938073307609408
24,0.45543606612859955
25,0.40804991547543384
26,0.38281946967101527
27,0.3590663898667709
28,0.45316835584123255
29,0.32744674720545264
30,0.3775270332908514
31,0.26053028428330316
