Time Points,Mean
8,0.4864644623898783
9,0.41998154865206205
10,0.37985161451297605
11,0.48216625755555703
12,0.4750950241349211
13,0.8457567124524826
14,0.9797531995580813
15,1.0800326423185902
16,1.0418550836102696
17,0.9953322000883743
18,1.0549148643279562
19,1.2200495084081238
20,1.3649785200920759
21,1.1868236340934
22,1.0980585631888489
23,1.270164778222139
24,1.2146542401059055
25,1.0970733997198874
26,1.1390078259646208
27,0.91119882579658
28,1.1187590315017157
29,1.1998310598471258
30,0.9828631932794205
31,1.0388724702437981
32,1.2468396650616944
33,1.1684825575427926
34,1.1797547189815694
35,1.0883448151882071
36,0.8849598970770632
37,0.8191102559225908
38,0.7767635819773576
39,0.6557367132037104
40,0.5493153376934758
41,0.4134552470581972
42,0.3859162890131605
43,0.3166760256939582
44,0.4746038263898161
45,0.4690114030047374
46,0.5142701522679316
47,0.6184099961577234
48,0.7882337419867499
49,0.6174907913413087
50,0.5670752088705032
51,0.5585926666379412
52,0.5390907804732906
53,0.42620644515883405
54,0.42228869048293705
55,0.41476553366916746
56,0.7317761805222186
57,0.8053948798064364
58,1.134990743416773
59,1.0501939771001676
60,1.1237161751056948
61,1.028946012693973
62,0.8835599097270301
