Date,Region,Daily import-related case,Daily imported case,Daily locally acquired case  unknown source,Daily locally acquired  epidemiologically linked,Daily under investigation,Daily total cases,Cumulative import-related case,Cumulative imported case,Cumulative locally acquired case  unknown source,Cumulative locally acquired  epidemiologically linked,Cumulative under investigation,Cumulative total cases
20/09/2020,Southern,0,0,0,0,0,0,131,52,19,14,0,216
20/09/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
20/09/2020,Taranaki,0,0,0,0,0,0,2,14,0,0,0,16
20/09/2020,Waikato,0,0,0,0,0,0,133,55,2,4,0,194
20/09/2020,Wairarapa,0,0,0,0,0,0,3,4,1,0,0,8
20/09/2020,Waitemata,0,0,0,0,0,0,29,86,9,169,0,293
20/09/2020,West Coast,0,0,0,0,0,0,1,1,2,1,0,5
20/09/2020,Whanganui,0,0,0,0,0,0,0,7,2,0,0,9
19/09/2020,Auckland,0,1,0,0,0,1,20,116,13,119,0,268
19/09/2020,Bay of Plenty,0,0,0,0,0,0,16,22,5,5,0,48
19/09/2020,Canterbury,0,0,0,0,0,0,16,69,8,99,0,192
19/09/2020,Capital and Coast,0,0,0,0,0,0,37,55,1,4,0,97
19/09/2020,Counties Manukau,2,0,0,0,0,2,22,110,15,118,0,265
19/09/2020,Hawke's Bay,0,0,0,0,0,0,14,21,1,8,0,44
19/09/2020,Hutt Valley,0,0,0,0,0,0,6,14,0,2,0,22
19/09/2020,Lakes,0,0,0,0,0,0,2,12,2,0,0,16
19/09/2020,Midcentral,0,0,0,0,0,0,6,20,0,6,0,32
19/09/2020,Nelson Marlborough,0,0,0,0,0,0,15,26,4,4,0,49
19/09/2020,Northland,0,0,0,0,0,0,7,12,5,4,0,28
19/09/2020,South Canterbury,0,0,0,0,0,0,2,5,6,4,0,17
19/09/2020,Southern,0,0,0,0,0,0,131,52,19,14,0,216
19/09/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
19/09/2020,Taranaki,0,0,0,0,0,0,2,14,0,0,0,16
19/09/2020,Waikato,0,0,0,0,0,0,133,55,2,4,0,194
19/09/2020,Wairarapa,0,0,0,0,0,0,3,4,1,0,0,8
19/09/2020,Waitemata,0,0,0,0,0,0,29,86,9,169,0,293
19/09/2020,West Coast,0,0,0,0,0,0,1,1,2,1,0,5
19/09/2020,Whanganui,0,0,0,0,0,0,0,7,2,0,0,9
18/09/2020,Auckland,1,1,0,0,0,2,20,115,13,119,0,267
18/09/2020,Bay of Plenty,0,0,0,0,0,0,16,22,5,5,0,48
18/09/2020,Canterbury,0,0,0,0,0,0,16,69,8,99,0,192
18/09/2020,Capital and Coast,0,0,0,0,0,0,37,55,1,4,0,97
18/09/2020,Counties Manukau,0,1,0,0,0,1,20,110,15,118,0,263
18/09/2020,Hawke's Bay,0,0,0,0,0,0,14,21,1,8,0,44
18/09/2020,Hutt Valley,0,0,0,0,0,0,6,14,0,2,0,22
18/09/2020,Lakes,0,0,0,0,0,0,2,12,2,0,0,16
18/09/2020,Midcentral,0,0,0,0,0,0,6,20,0,6,0,32
18/09/2020,Nelson Marlborough,0,0,0,0,0,0,15,26,4,4,0,49
18/09/2020,Northland,0,0,0,0,0,0,7,12,5,4,0,28
18/09/2020,South Canterbury,0,0,0,0,0,0,2,5,6,4,0,17
18/09/2020,Southern,0,0,0,0,0,0,131,52,19,14,0,216
18/09/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
18/09/2020,Taranaki,0,0,0,0,0,0,2,14,0,0,0,16
18/09/2020,Waikato,0,0,0,0,0,0,133,55,2,4,0,194
18/09/2020,Wairarapa,0,0,0,0,0,0,3,4,1,0,0,8
18/09/2020,Waitemata,0,0,0,0,0,0,29,86,9,169,0,293
18/09/2020,West Coast,0,0,0,0,0,0,1,1,2,1,0,5
18/09/2020,Whanganui,0,0,0,0,0,0,0,7,2,0,0,9
17/09/2020,Auckland,0,0,0,0,0,0,19,114,13,119,0,265
17/09/2020,Bay of Plenty,0,0,0,0,0,0,16,22,5,5,0,48
17/09/2020,Canterbury,0,0,0,0,0,0,16,69,8,99,0,192
17/09/2020,Capital and Coast,0,0,0,0,0,0,37,55,1,4,0,97
17/09/2020,Counties Manukau,0,0,0,0,0,0,20,109,15,118,0,262
17/09/2020,Hawke's Bay,0,0,0,0,0,0,14,21,1,8,0,44
17/09/2020,Hutt Valley,0,0,0,0,0,0,6,14,0,2,0,22
17/09/2020,Lakes,0,0,0,0,0,0,2,12,2,0,0,16
17/09/2020,Midcentral,0,0,0,0,0,0,6,20,0,6,0,32
17/09/2020,Nelson Marlborough,0,0,0,0,0,0,15,26,4,4,0,49
17/09/2020,Northland,0,0,0,0,0,0,7,12,5,4,0,28
17/09/2020,South Canterbury,0,0,0,0,0,0,2,5,6,4,0,17
17/09/2020,Southern,0,0,0,0,0,0,131,52,19,14,0,216
17/09/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
17/09/2020,Taranaki,0,0,0,0,0,0,2,14,0,0,0,16
17/09/2020,Waikato,0,0,0,0,0,0,133,55,2,4,0,194
17/09/2020,Wairarapa,0,0,0,0,0,0,3,4,1,0,0,8
17/09/2020,Waitemata,0,0,0,0,0,0,29,86,9,169,0,293
17/09/2020,West Coast,0,0,0,0,0,0,1,1,2,1,0,5
17/09/2020,Whanganui,0,0,0,0,0,0,0,7,2,0,0,9
16/09/2020,Auckland,0,4,0,0,0,4,19,114,13,119,0,265
16/09/2020,Bay of Plenty,0,0,0,0,0,0,16,22,5,5,0,48
16/09/2020,Canterbury,0,1,0,0,0,1,16,69,8,99,0,192
16/09/2020,Capital and Coast,0,1,0,0,0,1,37,55,1,4,0,97
16/09/2020,Counties Manukau,0,1,0,0,0,1,20,109,15,118,0,262
