Date Added,Risk2,Traveler,County2,Date Added (copy),Freq - Hawaii,Freq - Honolulu,Freq - Kauai,Freq - Maui,Frequency Count,Total Number of Cases
3/28/2020,Travel-Associated (Non-Resident),Travel History,Maui,3/28/2020,0,0,0,1,1,1
3/28/2020,Travel-Associated (Resident),Travel History,Maui,3/28/2020,0,0,0,5,5,5
3/29/2020,Travel-Associated (Resident),Travel History,Hawaii,3/29/2020,1,0,0,0,1,1
3/29/2020,Community-Associated,No Travel History,Honolulu,3/29/2020,0,9,0,0,9,9
3/29/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,3/29/2020,0,1,0,0,1,1
3/29/2020,Travel-Associated (Resident),Travel History,Honolulu,3/29/2020,0,15,0,0,15,15
3/29/2020,Community-Associated,No Travel History,Maui,3/29/2020,0,0,0,2,2,2
3/29/2020,Travel-Associated (Resident),Travel History,Maui,3/29/2020,0,0,0,3,3,3
3/30/2020,Community-Associated,No Travel History,Honolulu,3/30/2020,0,7,0,0,7,7
3/30/2020,Travel-Associated (Resident),Travel History,Honolulu,3/30/2020,0,13,0,0,13,13
3/30/2020,Community-Associated,No Travel History,Maui,3/30/2020,0,0,0,1,1,1
3/30/2020,Travel-Associated (Resident),Travel History,Maui,3/30/2020,0,0,0,1,1,1
3/31/2020,Travel-Associated (Non-Resident),Travel History,Hawaii,3/31/2020,1,0,0,0,1,1
3/31/2020,Travel-Associated (Resident),Travel History,Hawaii,3/31/2020,2,0,0,0,2,2
3/31/2020,Community-Associated,No Travel History,Honolulu,3/31/2020,0,5,0,0,5,5
3/31/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,3/31/2020,0,1,0,0,1,1
3/31/2020,Travel-Associated (Resident),Travel History,Honolulu,3/31/2020,0,21,0,0,21,21
3/31/2020,Community-Associated,No Travel History,Maui,3/31/2020,0,0,0,1,1,1
4/1/2020,Community-Associated,No Travel History,Honolulu,4/1/2020,0,14,0,0,14,14
4/1/2020,Travel-Associated (Resident),Travel History,Honolulu,4/1/2020,0,11,0,0,11,11
4/1/2020,Travel-Associated (Resident),Travel History,Kauai,4/1/2020,0,0,1,0,1,1
4/1/2020,Community-Associated,No Travel History,Maui,4/1/2020,0,0,0,1,1,1
4/1/2020,Travel-Associated (Non-Resident),Travel History,Maui,4/1/2020,0,0,0,1,1,1
4/2/2020,Community-Associated,No Travel History,Hawaii,4/2/2020,2,0,0,0,2,2
4/2/2020,Community-Associated,No Travel History,Honolulu,4/2/2020,0,16,0,0,16,16
4/2/2020,Travel-Associated (Resident),Travel History,Honolulu,4/2/2020,0,12,0,0,12,12
4/2/2020,Travel-Associated (Resident),Travel History,Kauai,4/2/2020,0,0,2,0,2,2
4/2/2020,Community-Associated,No Travel History,Maui,4/2/2020,0,0,0,2,2,2
4/2/2020,Travel-Associated (Resident),Travel History,Maui,4/2/2020,0,0,0,5,5,5
4/3/2020,Community-Associated,No Travel History,Hawaii,4/3/2020,1,0,0,0,1,1
4/3/2020,Travel-Associated (Resident),Travel History,Hawaii,4/3/2020,1,0,0,0,1,1
4/3/2020,Community-Associated,No Travel History,Honolulu,4/3/2020,0,14,0,0,14,14
4/3/2020,Travel-Associated (Resident),Travel History,Honolulu,4/3/2020,0,4,0,0,4,4
4/3/2020,Community-Associated,No Travel History,Maui,4/3/2020,0,0,0,1,1,1
4/3/2020,Travel-Associated (Resident),Travel History,Maui,4/3/2020,0,0,0,1,1,1
4/4/2020,Community-Associated,No Travel History,Honolulu,4/4/2020,0,7,0,0,7,7
4/4/2020,Travel-Associated (Resident),Travel History,Honolulu,4/4/2020,0,2,0,0,2,2
4/4/2020,Travel-Associated (Resident),Travel History,Kauai,4/4/2020,0,0,1,0,1,1
4/4/2020,Community-Associated,No Travel History,Maui,4/4/2020,0,0,0,2,2,2
4/4/2020,Travel-Associated (Non-Resident),Travel History,Maui,4/4/2020,0,0,0,2,2,2
4/4/2020,Travel-Associated (Resident),Travel History,Maui,4/4/2020,0,0,0,1,1,1
4/5/2020,Travel-Associated (Resident),Travel History,Hawaii,4/5/2020,1,0,0,0,1,1
4/5/2020,Community-Associated,No Travel History,Honolulu,4/5/2020,0,5,0,0,5,5
4/5/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,4/5/2020,0,1,0,0,1,1
4/5/2020,Travel-Associated (Resident),Travel History,Honolulu,4/5/2020,0,6,0,0,6,6
4/5/2020,Community-Associated,No Travel History,Kauai,4/5/2020,0,0,1,0,1,1
4/5/2020,Community-Associated,No Travel History,Maui,4/5/2020,0,0,0,3,3,3
4/5/2020,Travel-Associated (Resident),Travel History,Maui,4/5/2020,0,0,0,1,1,1
4/6/2020,Community-Associated,No Travel History,Hawaii,4/6/2020,1,0,0,0,1,1
4/6/2020,Community-Associated,No Travel History,Honolulu,4/6/2020,0,9,0,0,9,9
4/6/2020,Travel-Associated (Resident),Travel History,Honolulu,4/6/2020,0,7,0,0,7,7
4/6/2020,Travel-Associated (Non-Resident),Travel History,Kauai,4/6/2020,0,0,1,0,1,1
4/6/2020,Community-Associated,No Travel History,Maui,4/6/2020,0,0,0,3,3,3
4/6/2020,Travel-Associated (Resident),Travel History,Maui,4/6/2020,0,0,0,1,1,1
4/7/2020,Community-Associated,No Travel History,Hawaii,4/7/2020,1,0,0,0,1,1
4/7/2020,Travel-Associated (Resident),Travel History,Hawaii,4/7/2020,2,0,0,0,2,2
4/7/2020,Community-Associated,No Travel History,Honolulu,4/7/2020,0,8,0,0,8,8
4/7/2020,Travel-Associated (Resident),Travel History,Honolulu,4/7/2020,0,3,0,0,3,3
4/7/2020,Travel-Associated (Resident),Travel History,Kauai,4/7/2020,0,0,1,0,1,1
4/7/2020,Community-Associated,No Travel History,Maui,4/7/2020,0,0,0,5,5,5
4/7/2020,Travel-Associated (Non-Resident),Travel History,Maui,4/7/2020,0,0,0,1,1,1
4/8/2020,Community-Associated,No Travel History,Honolulu,4/8/2020,0,3,0,0,3,3
4/8/2020,Travel-Associated (Resident),Travel History,Honolulu,4/8/2020,0,4,0,0,4,4
4/8/2020,Community-Associated,No Travel History,Maui,4/8/2020,0,0,0,2,2,2
4/9/2020,Community-Associated,No Travel History,Hawaii,4/9/2020,1,0,0,0,1,1
4/9/2020,Community-Associated,No Travel History,Honolulu,4/9/2020,0,1,0,0,1,1
4/9/2020,Travel-Associated (Resident),Travel History,Honolulu,4/9/2020,0,3,0,0,3,3
4/9/2020,Community-Associated,No Travel History,Maui,4/9/2020,0,0,0,4,4,4
4/9/2020,Travel-Associated (Non-Resident),Travel History,Maui,4/9/2020,0,0,0,1,1,1
4/9/2020,Travel-Associated (Resident),Travel History,Maui,4/9/2020,0,0,0,1,1,1
4/10/2020,Community-Associated,No Travel History,Hawaii,4/10/2020,3,0,0,0,3,3
4/10/2020,Community-Associated,No Travel History,Honolulu,4/10/2020,0,2,0,0,2,2
4/10/2020,Travel-Associated (Resident),Travel History,Honolulu,4/10/2020,0,3,0,0,3,3
4/10/2020,Community-Associated,No Travel History,Maui,4/10/2020,0,0,0,11,11,11
4/10/2020,Travel-Associated (Non-Resident),Travel History,Maui,4/10/2020,0,0,0,1,1,1
4/11/2020,Community-Associated,No Travel History,Hawaii,4/11/2020,5,0,0,0,5,5
4/11/2020,Community-Associated,No Travel History,Honolulu,4/11/2020,0,3,0,0,3,3
4/11/2020,Travel-Associated (Resident),Travel History,Kauai,4/11/2020,0,0,2,0,2,2
4/11/2020,Community-Associated,No Travel History,Maui,4/11/2020,0,0,0,4,4,4
4/12/2020,Community-Associated,No Travel History,Hawaii,4/12/2020,1,0,0,0,1,1
4/12/2020,Community-Associated,No Travel History,Honolulu,4/12/2020,0,1,0,0,1,1
4/12/2020,Community-Associated,No Travel History,Maui,4/12/2020,0,0,0,2,2,2
4/13/2020,Community-Associated,No Travel History,Hawaii,4/13/2020,1,0,0,0,1,1
4/13/2020,Community-Associated,No Travel History,Honolulu,4/13/2020,0,4,0,0,4,4
4/13/2020,Community-Associated,No Travel History,Maui,4/13/2020,0,0,0,1,1,1
4/14/2020,Community-Associated,No Travel History,Honolulu,4/14/2020,0,6,0,0,6,6
4/14/2020,Travel-Associated (Resident),Travel History,Honolulu,4/14/2020,0,3,0,0,3,3
4/14/2020,Community-Associated,No Travel History,Maui,4/14/2020,0,0,0,1,1,1
4/14/2020,Travel-Associated (Non-Resident),Travel History,Maui,4/14/2020,0,0,0,1,1,1
4/15/2020,Community-Associated,No Travel History,Honolulu,4/15/2020,0,4,0,0,4,4
4/15/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,4/15/2020,0,1,0,0,1,1
4/15/2020,Travel-Associated (Resident),Travel History,Honolulu,4/15/2020,0,1,0,0,1,1
4/15/2020,Community-Associated,No Travel History,Maui,4/15/2020,0,0,0,5,5,5
4/16/2020,Community-Associated,No Travel History,Hawaii,4/16/2020,3,0,0,0,3,3
4/16/2020,Travel-Associated (Resident),Travel History,Honolulu,4/16/2020,0,4,0,0,4,4
4/16/2020,Community-Associated,No Travel History,Maui,4/16/2020,0,0,0,2,2,2
4/17/2020,Community-Associated,No Travel History,Hawaii,4/17/2020,15,0,0,0,15,15
4/17/2020,Travel-Associated (Resident),Travel History,Hawaii,4/17/2020,1,0,0,0,1,1
4/17/2020,Community-Associated,No Travel History,Honolulu,4/17/2020,0,1,0,0,1,1
4/17/2020,Community-Associated,No Travel History,Maui,4/17/2020,0,0,0,3,3,3
4/18/2020,Community-Associated,No Travel History,Hawaii,4/18/2020,2,0,0,0,2,2
4/18/2020,Community-Associated,No Travel History,Honolulu,4/18/2020,0,3,0,0,3,3
4/18/2020,Community-Associated,No Travel History,Maui,4/18/2020,0,0,0,3,3,3
4/19/2020,Community-Associated,No Travel History,Hawaii,4/19/2020,2,0,0,0,2,2
4/19/2020,Community-Associated,No Travel History,Maui,4/19/2020,0,0,0,2,2,2
4/20/2020,Community-Associated,No Travel History,Maui,4/20/2020,0,0,0,1,1,1
4/20/2020,Travel-Associated (Resident),Travel History,Maui,4/20/2020,0,0,0,1,1,1
4/21/2020,Community-Associated,No Travel History,Hawaii,4/21/2020,3,0,0,0,3,3
4/21/2020,Community-Associated,No Travel History,Honolulu,4/21/2020,0,2,0,0,2,2
4/21/2020,Community-Associated,No Travel History,Maui,4/21/2020,0,0,0,1,1,1
4/22/2020,Community-Associated,No Travel History,Hawaii,4/22/2020,1,0,0,0,1,1
4/22/2020,Community-Associated,No Travel History,Honolulu,4/22/2020,0,2,0,0,2,2
4/22/2020,Community-Associated,No Travel History,Maui,4/22/2020,0,0,0,2,2,2
4/23/2020,Community-Associated,No Travel History,Hawaii,4/23/2020,1,0,0,0,1,1
4/23/2020,Community-Associated,No Travel History,Honolulu,4/23/2020,0,1,0,0,1,1
4/23/2020,Community-Associated,No Travel History,Maui,4/23/2020,0,0,0,1,1,1
4/24/2020,Community-Associated,No Travel History,Honolulu,4/24/2020,0,2,0,0,2,2
4/25/2020,Community-Associated,No Travel History,Hawaii,4/25/2020,1,0,0,0,1,1
4/25/2020,Travel-Associated (Resident),Travel History,Honolulu,4/25/2020,0,1,0,0,1,1
4/26/2020,Community-Associated,No Travel History,Maui,4/26/2020,0,0,0,1,1,1
4/27/2020,Community-Associated,No Travel History,Maui,4/27/2020,0,0,0,1,1,1
4/28/2020,Community-Associated,No Travel History,Honolulu,4/28/2020,0,1,0,0,1,1
4/28/2020,Travel-Associated (Resident),Travel History,Honolulu,4/28/2020,0,2,0,0,2,2
4/28/2020,Community-Associated,No Travel History,Maui,4/28/2020,0,0,0,1,1,1
4/29/2020,Community-Associated,No Travel History,Hawaii,4/29/2020,3,0,0,0,3,3
4/29/2020,Community-Associated,No Travel History,Maui,4/29/2020,0,0,0,1,1,1
4/30/2020,Community-Associated,No Travel History,Honolulu,4/30/2020,0,1,0,0,1,1
5/2/2020,Community-Associated,No Travel History,Hawaii,5/2/2020,1,0,0,0,1,1
5/2/2020,Community-Associated,No Travel History,Honolulu,5/2/2020,0,1,0,0,1,1
5/2/2020,Community-Associated,No Travel History,Maui,5/2/2020,0,0,0,1,1,1
5/3/2020,Community-Associated,No Travel History,Hawaii,5/3/2020,1,0,0,0,1,1
5/4/2020,Community-Associated,No Travel History,Honolulu,5/4/2020,0,3,0,0,3,3
5/5/2020,Travel-Associated (Resident),Travel History,Honolulu,5/5/2020,0,1,0,0,1,1
5/6/2020,Community-Associated,No Travel History,Honolulu,5/6/2020,0,2,0,0,2,2
5/8/2020,Community-Associated,No Travel History,Honolulu,5/8/2020,0,1,0,0,1,1
5/8/2020,Community-Associated,No Travel History,Maui,5/8/2020,0,0,0,1,1,1
5/9/2020,Community-Associated,No Travel History,Honolulu,5/9/2020,0,1,0,0,1,1
5/10/2020,Travel-Associated (Resident),Travel History,Honolulu,5/10/2020,0,2,0,0,2,2
5/11/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,5/11/2020,0,1,0,0,1,1
5/12/2020,Community-Associated,No Travel History,Honolulu,5/12/2020,0,3,0,0,3,3
5/15/2020,Travel-Associated (Resident),Travel History,Hawaii,5/15/2020,1,0,0,0,1,1
5/15/2020,Community-Associated,No Travel History,Honolulu,5/15/2020,0,1,0,0,1,1
5/16/2020,Travel-Associated (Resident),Travel History,Hawaii,5/16/2020,1,0,0,0,1,1
5/18/2020,Community-Associated,No Travel History,Hawaii,5/18/2020,1,0,0,0,1,1
5/19/2020,Community-Associated,No Travel History,Honolulu,5/19/2020,0,1,0,0,1,1
5/20/2020,Community-Associated,No Travel History,Hawaii,5/20/2020,2,0,0,0,2,2
5/20/2020,Travel-Associated (Non-Resident),Travel History,Hawaii,5/20/2020,1,0,0,0,1,1
5/20/2020,Community-Associated,No Travel History,Maui,5/20/2020,0,0,0,1,1,1
5/22/2020,Community-Associated,No Travel History,Maui,5/22/2020,0,0,0,1,1,1
5/27/2020,Community-Associated,No Travel History,Honolulu,5/27/2020,0,2,0,0,2,2
5/28/2020,Community-Associated,No Travel History,Honolulu,5/28/2020,0,2,0,0,2,2
5/28/2020,Travel-Associated (Resident),Travel History,Honolulu,5/28/2020,0,1,0,0,1,1
5/29/2020,Community-Associated,No Travel History,Honolulu,5/29/2020,0,2,0,0,2,2
5/29/2020,Community-Associated,No Travel History,Maui,5/29/2020,0,0,0,1,1,1
6/1/2020,Community-Associated,No Travel History,Honolulu,6/1/2020,0,1,0,0,1,1
6/2/2020,Community-Associated,No Travel History,Honolulu,6/2/2020,0,1,0,0,1,1
6/3/2020,Community-Associated,No Travel History,Honolulu,6/3/2020,0,1,0,0,1,1
6/4/2020,Community-Associated,No Travel History,Honolulu,6/4/2020,0,6,0,0,6,6
6/5/2020,Community-Associated,No Travel History,Honolulu,6/5/2020,0,8,0,0,8,8
6/6/2020,Travel-Associated (Resident),Travel History,Honolulu,6/6/2020,0,1,0,0,1,1
6/7/2020,Community-Associated,No Travel History,Honolulu,6/7/2020,0,1,0,0,1,1
6/8/2020,Community-Associated,No Travel History,Honolulu,6/8/2020,0,5,0,0,5,5
6/8/2020,Travel-Associated (Resident),Travel History,Honolulu,6/8/2020,0,1,0,0,1,1
6/9/2020,Community-Associated,No Travel History,Honolulu,6/9/2020,0,4,0,0,4,4
6/10/2020,Community-Associated,No Travel History,Honolulu,6/10/2020,0,6,0,0,6,6
6/11/2020,Community-Associated,No Travel History,Honolulu,6/11/2020,0,15,0,0,15,15
6/12/2020,Community-Associated,No Travel History,Honolulu,6/12/2020,0,17,0,0,17,17
6/13/2020,Community-Associated,No Travel History,Hawaii,6/13/2020,1,0,0,0,1,1
6/13/2020,Community-Associated,No Travel History,Honolulu,6/13/2020,0,2,0,0,2,2
6/13/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,6/13/2020,0,2,0,0,2,2
6/14/2020,Community-Associated,No Travel History,Honolulu,6/14/2020,0,8,0,0,8,8
6/15/2020,Community-Associated,No Travel History,Honolulu,6/15/2020,0,3,0,0,3,3
6/16/2020,Travel-Associated (Resident),Travel History,Hawaii,6/16/2020,1,0,0,0,1,1
6/16/2020,Community-Associated,No Travel History,Honolulu,6/16/2020,0,4,0,0,4,4
6/17/2020,Community-Associated,No Travel History,Honolulu,6/17/2020,0,18,0,0,18,18
6/18/2020,Community-Associated,No Travel History,Honolulu,6/18/2020,0,21,0,0,21,21
6/18/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,6/18/2020,0,1,0,0,1,1
6/18/2020,Travel-Associated (Resident),Travel History,Honolulu,6/18/2020,0,2,0,0,2,2
